PlayerName,Pos,Age,MP,OWS,DWS,OBPM,DBPM
Bruno Caboclo,SF,24,192,-0.1,0.3,-3.3,0.8
Bruno Caboclo,SF,24,28,0.1,0.1,2.5,3.2
Kentavious Caldwell-Pope,SG,26,1603,2,1.8,-0.8,0.5
Vlatko ?an?ar,SF,22,45,0,0,-3.5,-1.1
Clint Capela,C,25,1279,2.9,2.1,1.1,0.4
DeMarre Carroll,SF,33,231,0,0.1,-3.4,-1.1
DeMarre Carroll,SF,33,135,-0.2,0.1,-6,-1.1
DeMarre Carroll,SF,33,96,0.2,0.1,0.3,-1.1
Jevon Carter,PG,24,754,0.3,0.7,-1.6,1
Vince Carter,SF,43,876,-0.6,0.4,-3.1,-1.2
Wendell Carter Jr.,C,20,1256,1.7,1.6,-2.1,-0.3
Michael Carter-Williams,SG,28,773,0.7,1.1,-1.3,1.7
Alex Caruso,PG,25,1032,0.6,1.6,-2.4,2.4
Willie Cauley-Stein,C,26,1097,1.5,1.5,-1.2,1.7
Willie Cauley-Stein,C,26,940,1,1.2,-1.5,1.6
Willie Cauley-Stein,C,26,157,0.5,0.3,1,2.3
Tyson Chandler,C,37,219,0.3,0.3,-2.5,1.1
Wilson Chandler,SF,32,734,-0.1,0.9,-3.9,1
Joe Chealey,PG,24,33,-0.2,0,-14.3,1.7
Zylan Cheatham,SF,24,31,-0.1,0,-10.2,0.1
Chris Chiozza,PG,24,249,0.1,0.3,-0.8,1.6
Chris Chiozza,PG,24,123,-0.1,0.1,-3.6,2.1
Chris Chiozza,PG,24,126,0.3,0.1,1.8,1.1
Marquese Chriss,PF,22,1196,2.1,1.3,0.1,0.5
Gary Clark,PF,25,425,0.5,0.4,-1.1,-1.1
Gary Clark,PF,25,212,0.4,0.2,0.4,-0.9
Gary Clark,PF,25,213,0.1,0.2,-2.7,-1.3
Brandon Clarke,PF,23,1086,3.1,1.3,2.8,0.7
Jordan Clarkson,SG,27,1527,2.6,0.9,2.7,-1.1
Jordan Clarkson,SG,27,666,1.4,0.1,4.1,-1.4
Jordan Clarkson,SG,27,861,1.2,0.8,1.6,-0.9
Nicolas Claxton,PF,20,187,0.3,0.2,-0.7,0
Chris Clemons,SG,22,251,0.1,0.2,0.4,-1.7
Antonius Cleveland,SG,25,22,-0.1,0,-8.9,0.7
Amir Coffey,SG,22,98,-0.1,0.1,-5.7,-1.1
John Collins,PF,22,1363,3.8,1.1,3.7,-0.7
Zach Collins,PF,22,86,0.1,0,-1.1,-0.7
Mike Conley,PG,32,1171,1,1,0.4,-0.4
Pat Connaughton,SG,27,1119,0.9,2.1,-1.1,1.6
Quinn Cook,PG,26,409,-0.1,0.4,-2.3,-1
Tyler Cook,PF,22,35,0.2,0,3,-0.6
Robert Covington,PF,29,1867,0.9,2.4,-1,1.1
Robert Covington,PF,29,1411,0.5,1.7,-1.2,1.2
Robert Covington,PF,29,456,0.3,0.7,-0.3,0.8
Allen Crabbe,SG,27,653,-0.2,0.1,-3.7,-1.5
Allen Crabbe,SG,27,522,0,0.1,-3,-1.1
Allen Crabbe,SG,27,131,-0.2,0,-6.6,-3.2
Torrey Craig,SF,29,869,0.8,0.9,-2.4,0.1
Jae Crowder,SF,29,1695,1.2,2,-0.9,0.3
Jae Crowder,SF,29,1322,0.5,1.4,-1.4,0.1
Jae Crowder,SF,29,373,0.7,0.6,0.7,1.1
Jarrett Culver,SG,20,1506,-1.2,1.1,-3.2,-0.8
Seth Curry,SG,29,1448,3.4,0.9,2,-0.7
Stephen Curry,PG,31,139,0.2,0.1,4.5,-0.6
Troy Daniels,SG,28,457,0.2,0.4,-1.2,-1
Troy Daniels,SG,28,456,0.3,0.4,-1.1,-1
Troy Daniels,SG,28,1,0,0,-38.4,-22.8
Anthony Davis,PF,26,1889,6.2,4.1,5.8,2.8
Ed Davis,C,30,268,-0.1,0.5,-5.5,1.7
Terence Davis,SG,22,1087,1.4,1.6,0.7,0.6
Dewayne Dedmon,C,30,774,-1,1.1,-5.8,0
Dewayne Dedmon,C,30,541,-0.8,0.7,-6.3,-0.1
Dewayne Dedmon,C,30,233,-0.2,0.3,-4.5,0.1
Matthew Dellavedova,PG,29,821,0.1,0.1,-3.6,-1.6
DeMar DeRozan,SF,30,2091,5.1,1.1,2.1,-0.5
Cheick Diallo,C,23,467,0.8,0.5,-1.1,-0.3
Hamidou Diallo,SF,21,699,-0.6,0.8,-5,0.3
Gorgui Dieng,C,30,1012,1.1,1.6,0,1.8
Gorgui Dieng,C,30,778,1,1.1,0.3,1.5
Gorgui Dieng,C,30,234,0.2,0.4,-1.2,2.9
Spencer Dinwiddie,SG,26,1994,3.4,1.7,2.6,-0.8
Donte DiVincenzo,SG,23,1362,1.4,3.1,-0.6,2.7
Luka Don?i?,PG,20,1799,5.8,2.3,7.3,1.1
Luguentz Dort,SG,20,637,0.2,0.5,-4.3,0.4
Damyean Dotson,SG,25,836,0.6,0.3,-0.9,-0.5
Sekou Doumbouya,SF,19,754,-0.8,0.5,-5.2,-1.5
PJ Dozier,PG,23,234,-0.1,0.2,-4.4,-0.8
Goran Dragi?,PG,33,1531,2,1.1,1.4,-1.9
Andre Drummond,C,26,1879,0.7,3.6,-0.1,1.1
Andre Drummond,C,26,1654,0.7,3.3,0,1.2
Andre Drummond,C,26,225,-0.1,0.3,-0.8,0.4
Jared Dudley,SF,34,311,0.2,0.4,-2.7,2
Kris Dunn,PG,25,1269,0.3,2,-3.7,3.1
Carsen Edwards,SG,21,316,-0.3,0.4,-4.6,-0.3
