PlayerName,Pos,Age,MP,OWS,DWS,OBPM,DBPM
Mychal Mulder,SG,25,204,0.1,0,-3.3,-2.9
Dejounte Murray,PG,23,1447,0.9,1.7,-0.5,1.5
Jamal Murray,PG,22,1804,2.5,1.6,1.8,-0.7
Džanan Musa,SF,20,404,-0.4,0.4,-4.1,-0.7
Mike Muscala,C,28,492,0.5,0.5,-0.1,-0.1
Sviatoslav Mykhailiuk,SF,22,1265,1,0.6,-0.7,-1.2
Abdel Nader,SF,26,756,0.4,0.7,-1.1,0.2
Larry Nance Jr.,C,27,1472,2.8,1.1,1.4,0.3
Shabazz Napier,PG,28,1234,1.1,0.8,-0.3,-0.2
Shabazz Napier,PG,28,856,0.6,0.6,-0.5,-0.2
Shabazz Napier,PG,28,378,0.4,0.2,0.2,-0.2
Raul Neto,PG,27,565,0.2,0.6,-1.8,-0.1
Malik Newman,SG,22,4,0,0,-14.5,-11.3
Georges Niang,PF,26,772,1,0.7,0.9,-0.4
Nerlens Noel,C,25,1014,2.7,2.1,0.5,3.4
Zach Norvell,SG,22,41,-0.1,0,-7.1,-1.2
Zach Norvell,SG,22,5,0,0,-10.2,-2.4
Zach Norvell,SG,22,36,-0.1,0,-6.7,-1.1
Jaylen Nowell,SG,20,151,0.1,0,-2.9,-0.8
Frank Ntilikina,PG,21,1187,0.1,0.8,-3.6,0.4
Kendrick Nunn,SG,24,1846,1,1.4,-0.7,-1.3
David Nwaba,SF,27,268,0.4,0.4,-1.1,2
Royce O'Neale,PF,26,1862,1.8,2.2,-1.3,2.1
Kyle O'Quinn,C,29,258,0.3,0.5,-0.7,2.2
Semi Ojeleye,PF,25,891,0.8,0.9,-2.1,0.5
Jahlil Okafor,C,24,424,0.7,0.4,-0.8,0.6
Elie Okobo,PG,22,707,0.4,0.5,-2,-0.1
Josh Okogie,SG,21,1547,1,1.2,-2.4,0
KZ Okpala,SF,20,26,0,0,-1.2,4
Victor Oladipo,SG,27,337,-0.3,0.4,-1.7,-1.3
Kelly Olynyk,C,28,1089,1.7,1.5,0.1,1
Miye Oni,SG,22,11,-0.1,0,-12.7,-4.6
Cedi Osman,SF,24,1910,1.1,0.5,-1.6,-0.9
Kelly Oubre Jr.,SF,24,1933,1.7,1.9,-0.3,-0.4
Tariq Owens,PF,24,15,0,0,-3.1,-2.8
Jeremy Pargo,PG,33,44,0,0,-2.8,-3.1
Jabari Parker,PF,24,852,0.5,0.7,0.2,-0.4
Jabari Parker,PF,24,837,0.5,0.7,0.4,-0.3
Jabari Parker,PF,24,15,0,0,-6.9,-3.4
Chandler Parsons,SF,31,54,-0.1,0,-4.7,-1.3
Eric Paschall,PF,23,1654,1.6,0.5,-0.7,-2
Anžejs Pase??iks,C,24,405,0.3,0.2,-3.8,-1.6
Patrick Patterson,PF,30,607,0.9,0.6,0.9,-0.5
Justin Patton,C,22,24,0,0,-6.9,-3.3
Chris Paul,PG,34,2003,5.5,2.5,3.1,1.2
Elfrid Payton,PG,25,1246,0.5,1.2,-0.3,0.3
Gary Payton II,PG,27,432,0.1,0.4,-3.1,1.5
Norvel Pelle,C,26,178,-0.1,0.4,-7.1,3.1
Theo Pinson,SG,24,365,-1,0.5,-6.9,-0.2
Mason Plumlee,C,29,900,1.7,1.3,0.2,2
Vincent Poirier,C,26,114,0.1,0.2,-4.5,0.7
Jakob Pöltl,C,24,965,2,1.3,0.8,2.3
Shamorie Ponds,PG,21,11,0.1,0,8.4,5.3
Jordan Poole,SG,20,1274,-1.6,0.4,-4.4,-2.2
Kevin Porter Jr.,SF,19,1162,-0.3,0.6,-3.2,-0.6
Michael Porter Jr.,PF,21,670,1,0.9,1.4,-0.7
Otto Porter,SF,26,331,0.4,0.4,0.9,0.2
Bobby Portis,C,24,1393,0.9,1,0.1,-1.1
Kristaps Porzi??is,PF,24,1597,1.7,2.6,1.2,0.3
Dwight Powell,C,28,1061,2.6,1.1,0.4,1
Norman Powell,SG,26,1269,2.2,1.9,1.4,0.9
Chasson Randle,PG,26,40,0,0,-5.9,0.1
Julius Randle,PF,25,2080,1,1.7,0.7,-1
Josh Reaves,SG,22,1,0,0,-24.4,-15.1
Cam Reddish,SF,20,1551,-1.2,0.8,-3.2,-1
J.J. Redick,SG,35,1425,3.2,0.6,2,-1.6
Naz Reid,C,20,495,0.2,0.6,-1.6,-0.3
Josh Richardson,SG,26,1474,0.3,1.6,-1.5,-0.2
Austin Rivers,SG,27,1402,1.3,1,-1.9,-0.4
Duncan Robinson,SF,25,1949,3.2,1.5,1.2,-0.9
Glenn Robinson III,SF,26,1743,2,0.8,-0.5,-1.1
Glenn Robinson III,SF,26,1516,1.5,0.6,-0.5,-1.2
Glenn Robinson III,SF,26,227,0.5,0.2,-0.2,-0.9
